year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,9,OH,HTS,3.0,2.0,1.97,0.0,0.03,0.0,0.0,0.0,0.0,142.0,138.0,0.0,4.0,0.0,0.0
2017,11,OO,CAK,158.0,24.0,7.09,0.0,4.95,0.0,11.96,1.0,0.0,1866.0,945.0,0.0,207.0,0.0,714.0
2013,12,DL,DSM,18.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,142.0,71.0,0.0,71.0,0.0,0.0
2015,7,B6,MSY,94.0,16.0,8.11,0.0,4.06,0.0,3.83,0.0,0.0,719.0,379.0,0.0,195.0,0.0,145.0
2016,3,UA,GRR,9.0,3.0,2.22,0.0,0.04,0.0,0.74,0.0,0.0,418.0,378.0,0.0,6.0,0.0,34.0
2018,9,UA,MSP,319.0,48.0,15.26,1.03,15.48,0.0,16.24,1.0,1.0,2766.0,944.0,57.0,708.0,0.0,1057.0
2021,10,MQ,OMA,116.0,17.0,6.25,0.31,4.91,0.0,5.53,1.0,0.0,795.0,274.0,5.0,153.0,0.0,363.0
2021,2,DL,GSP,50.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,0.0,0.0,0.0,0.0
2018,4,EV,MDW,4.0,3.0,2.62,0.0,0.0,0.0,0.38,0.0,0.0,418.0,351.0,0.0,0.0,0.0,67.0
2022,10,QX,RDM,166.0,18.0,9.44,0.0,4.36,0.0,4.19,0.0,0.0,598.0,387.0,0.0,110.0,0.0,101.0
2014,12,EV,MYR,78.0,20.0,14.13,0.0,1.58,0.0,4.29,0.0,0.0,1089.0,748.0,0.0,48.0,0.0,293.0
2019,1,B6,BOS,4303.0,1134.0,279.44,10.93,370.49,0.76,472.37,289.0,8.0,124001.0,30216.0,1585.0,39730.0,31.0,52439.0
2016,2,EV,CHA,214.0,47.0,24.75,0.0,8.45,0.0,13.8,0.0,1.0,2599.0,1668.0,0.0,260.0,0.0,671.0
2017,8,WN,GEG,366.0,101.0,33.89,0.41,9.11,0.0,57.59,2.0,0.0,4342.0,1517.0,34.0,312.0,0.0,2479.0
2018,2,EV,JAX,28.0,7.0,1.81,0.0,3.26,0.0,1.93,0.0,0.0,1136.0,737.0,0.0,117.0,0.0,282.0
2020,12,9E,MBS,90.0,15.0,4.59,0.0,9.03,0.0,1.38,0.0,0.0,1281.0,841.0,0.0,305.0,0.0,135.0
2016,5,B6,PBI,576.0,149.0,60.0,0.77,53.54,0.0,34.69,0.0,0.0,7608.0,2968.0,23.0,2474.0,0.0,2143.0
2018,3,EV,BWI,52.0,10.0,1.25,0.0,2.93,0.0,5.82,6.0,0.0,837.0,158.0,0.0,235.0,0.0,444.0
2022,7,OO,DRT,62.0,10.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,546.0,285.0,25.0,121.0,0.0,115.0
